iso3c,region_id,country_name,income_id,gdp,population_population_number_of_people,total_msw_total_msw_generated_tons_year,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_is_this_data_measured
MAC,EAS,"Macao SAR, China",HIC,117335.5859375,612167,377942,3.1,3.3,1.7,3.1,58.7,7.9,NA,22.3,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,80,NA,NA
MAF,LCN,St. Martin (French part),HIC,30385.89453125,30959,15479.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,MEA,Morocco,LMC,6915.10302734375,34318080,6852000,60,2,2.5,6,9,8,NA,NA,NA,NA,1,NA,NA,NA,52,2,8,37,NA,NA,Disposal site
MCO,ECS,Monaco,HIC,43711.80078125,37783,46000,NA,3,2.2,NA,2.2,1,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,5.4,NA,9.6,NA,NA
MDA,ECS,Moldova,LMC,10360.830078125,3554108,3981200,55,4,3,23,5,10,NA,NA,NA,NA,NA,NA,NA,NA,35.08,NA,15.32,NA,49.6,NA,Other
MDG,SSF,Madagascar,LIC,1565.866943359375,24894552,3768759.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,96.7,NA,NA,NA,NA,NA,NA
MDV,SAS,Maldives,UMC,17284.609375,409163,211505.78,24,NA,1,1,6,3,NA,NA,65,NA,7,NA,6,NA,NA,24,NA,NA,NA,63,Ministry forecast
MEX,LCN,Mexico,UMC,19332.07421875,125890952,53100000,52.4,5.9,3.4,12.1,13.8,10.9,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,5,74.5,NA,NA,NA
MHL,EAS,Marshall Islands,UMC,3628.895263671875,52793,8614,8,2,6,31,11,13,NA,NA,29,NA,6,NA,NA,NA,NA,NA,30.8,NA,63.2,NA,NA
MKD,ECS,"Macedonia, FYR",UMC,16147.7294921875,2082958,626970.375,29.3,4.1,2.5,19.8,12.8,13.900000000000002,0.9,0.7,16,NA,0.1,NA,NA,99.72,NA,NA,0.18,NA,NA,NA,Disposal Site
MLI,SSF,Mali,LIC,2007.8060302734375,16006670,1937354.44,17.5,1,3.5,72.5,3.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MLT,MEA,Malta,HIC,43707.5390625,502653,348841.1875,52,6,4,9.5,18,12,NA,NA,NA,NA,NA,NA,0.37,NA,NA,NA,6.69,89.59,3.35,NA,NA
MMR,EAS,Myanmar,LMC,1093.7880859375,46095464,4677306.52914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,92,NA,Household
MNE,ECS,Montenegro,UMC,20752.62109375,622227,329780.3125,33.82,8.97,2.9,19.46,13.72,18.42,NA,2.7,NA,NA,NA,NA,NA,NA,91.57,NA,5.42,NA,3.01,NA,NA
MNG,EAS,Mongolia,LMC,10940.4150390625,3027398,2900000,22.7,NA,NA,50.1,12.7,14.5,NA,NA,NA,NA,NA,NA,NA,NA,93.5,NA,NA,NA,6.5,NA,NA
MNP,EAS,Northern Mariana Islands,HIC,60955.7265625,54036,32761.4145,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,64,NA,NA
MOZ,SSF,Mozambique,LIC,1217.0902099609375,27212382,2500000,60,NA,NA,15,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,1,NA,NA,NA,NA
MRT,SSF,Mauritania,LMC,4783.6357421875,3506288,454000,4.8,4,4.2,59.7,7.3,20,NA,NA,NA,NA,NA,37.3,NA,NA,54.7,NA,8,NA,NA,NA,NA
MUS,SSF,Mauritius,UMC,20646.93359375,1263473,438000,64,2.8,NA,8,13,12.4,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,91,NA,NA,NA
MWI,SSF,Malawi,LIC,999.4413452148436,16577147,1297844.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYS,EAS,Malaysia,UMC,23906.265625,30228016,12982685,46,3,3,9,14,15,3,7,NA,NA,1,NA,NA,71.5,NA,NA,17.5,10,NA,NA,Landfill
"NAM",SSF,Namibia,UMC,6152.9873046875,1559983,256729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,95.5,NA,NA
NCL,EAS,New Caledonia,HIC,57330.203125,278000,108157.384,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NER,SSF,Niger,LIC,1038.22412109375,8842415,1865645.67,38,NA,1,57,2,2,NA,NA,NA,NA,NA,NA,NA,NA,64,12,4,NA,20,NA,NA
NGA,SSF,Nigeria,LMC,4690.37939453125,154402176,27614830.07185,NA,3.1,NA,11.3,8,4.8,NA,NA,NA,NA,NA,NA,NA,40,NA,60,NA,NA,NA,NA,NA
NIC,LCN,Nicaragua,LMC,4611.84033203125,5737723,1528816.29335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6,59.3,21.1,NA,NA,NA,NA,NA
NLD,ECS,Netherlands,HIC,56849.375,17332850,8805088,35,5.4,4.3,20.24,21,14,NA,NA,NA,NA,27.1,NA,47.369,1.412,NA,NA,24.61,NA,NA,NA,NA
NOR,ECS,Norway,HIC,64962.26171875,5347896,4149967.25,15.49,4.6,6.12,13.15,26.57,2.25,NA,17.21,14.68,NA,16.69,NA,52.35,NA,NA,NA,26.16,3.38,1.42,NA,NA
