X,Y,xlo,ylo,fk_cat_especie,descripcion,perimetroestipite,alturaestipite,ObjectId
-5.94170223887433,37.399506886348036,239604.4,4143255,PHC,Phoenix canariensis,296,3.0,2195
-5.941786823310796,37.399558573886289,239597.1,4143261,PHC,Phoenix canariensis,286,3.0,2196
-5.943141919626338,37.400317221510136,239479.7,4143349,PHC,Phoenix canariensis,194,1.0,2197
-5.941157208615937,37.399354840261331,239652.1,4143236,PHC,Phoenix canariensis,236,2.0,2198
-5.942757473153762,37.400176320231907,239513.3,4143332,PHC,Phoenix canariensis,172,1.0,2199
-5.941215721935343,37.399193353812997,239646.4,4143219,PHC,Phoenix canariensis,NULL,NULL,2200
-5.94138006227934,37.399499590089533,239632.9,4143253,PHC,Phoenix canariensis,249,1.0,2201
-5.942702470731152,37.40014173770269,239518,4143328,PHC,Phoenix canariensis,182,7.0,2202
-5.94161716462037,37.399451336350523,239611.7,4143248,PHC,Phoenix canariensis,326,3.0,2203
-5.942231682122098,37.399837819609068,239558.7,4143293,PHC,Phoenix canariensis,NULL,NULL,2204
-5.943068457140769,37.400304454350739,239486.2,4143347,PHC,Phoenix canariensis,234,2.0,2205
-5.943282981279587,37.400322807962539,239467.3,4143350,PHC,Phoenix canariensis,214,1.0,2206
-5.941175797930993,37.399165964117266,239649.8,4143215,PHC,Phoenix canariensis,306,3.0,2207
-5.941574098728834,37.399421592143952,239615.4,4143245,PHC,Phoenix canariensis,302,3.0,2208
-5.942027827247832,37.399708186789198,239576.3,4143278,PHC,Phoenix canariensis,NULL,NULL,2209
-5.941084631581445,37.399107681968964,239657.7,4143209,PHC,Phoenix canariensis,NULL,NULL,2210
-5.94132365788286,37.39926167073132,239637.1,4143226,PHC,Phoenix canariensis,NULL,NULL,2211
-5.942931560852426,37.400266775975702,239498.2,4143342,PHC,Phoenix canariensis,226,2.0,2212
-5.941126639184063,37.399139254845103,239654.1,4143212,PHC,Phoenix canariensis,300,3.0,2213
-5.943353355411468,37.400317270154389,239461,4143349,PHC,Phoenix canariensis,204,7.0,2214
-5.941925898310267,37.399643325225526,239585.1,4143270,PHC,Phoenix canariensis,306,2.0,2215
-5.941880459142589,37.399613550129139,239589,4143267,PHC,Phoenix canariensis,NULL,NULL,2216
-5.941482117278281,37.399362699863808,239623.4,4143238,PHC,Phoenix canariensis,NULL,NULL,2217
-5.941527704335446,37.399390489088255,239619.4,4143241,PHC,Phoenix canariensis,342,4.0,2218
-5.942129752836975,37.399772958237676,239567.5,4143285,PHC,Phoenix canariensis,300,2.0,2219
-5.941042249972514,37.399080984156058,239661.3,4143206,PHC,Phoenix canariensis,266,3.0,2220
-5.941831800505563,37.399588090203686,239593.2,4143264,PHC,Phoenix canariensis,NULL,3.0,2221
-5.94086756903871,37.398969455289603,239676.4,4143193,PHC,Phoenix canariensis,317,3.0,2222
-5.942870605922113,37.400241712914593,239503.5,4143339,PHC,Phoenix canariensis,193,1.0,2223
